_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Eibar v Almeria,0,1.5999999999999979,-2,-3,-48,-4,-41,-35,-30,-7,-37,-17,0,0,-7,7,0,-2,1,-8,-2,0,1,0,-37,-49,-12,-2,2,0,-1,-3,-4,-2,2
Eibar v Athletic Club,2,2.0,-4,-5,40,4,40,25,13,4,27,7,-2,2,1,-1,-3,-4,-1,-7,-3,0,-1,0,-2,42,44,-5,2,0,7,3,-5,-4,-1
Eibar v Atletico,2,1.5,2,2,3,-1,-3,-17,8,-23,8,7,1,-1,2,-2,0,-1,-2,-3,-1,0,0,0,11,23,12,3,-1,0,-6,-3,6,3,-3
Eibar v Barcelona,2,1.9000000000000021,-3,-1,-242,2,-239,-141,-91,-57,-160,-18,2,-2,-6,6,0,-3,0,3,-3,0,-1,0,-195,-246,-51,3,1,0,10,5,-9,-5,-1
Eibar v Celta Vigo,2,2.799999999999997,-1,1,-130,11,-116,-66,-58,-48,-52,-25,-4,4,7,-7,0,0,0,-2,0,0,0,0,-78,-130,-52,4,-1,0,-6,-8,4,-2,-1
Eibar v Cordoba,0,3.400000000000002,1,-3,-82,15,-82,-53,-40,-10,-64,-21,-3,3,-1,1,3,0,2,-3,-3,0,0,0,-45,-77,-32,3,1,0,11,14,-9,3,3
Eibar v Deportivo,2,-0.5999999999999979,3,2,92,8,91,43,51,20,54,20,-3,3,5,-5,3,1,0,1,4,0,2,0,58,95,37,-2,-2,0,0,0,1,0,-1
Eibar v Elche,2,2.099999999999998,2,1,28,4,36,-9,27,-16,7,27,-1,1,-1,1,-1,-1,0,-5,-1,0,4,0,-15,27,42,0,1,0,4,0,-5,-4,0
Eibar v Espanyol,2,1.5,-3,-2,-44,-3,-53,-30,-17,3,-18,-29,0,0,-3,3,-3,-1,0,-3,-1,0,0,0,-4,-53,-49,-3,1,0,-3,2,5,5,-1
Eibar v Getafe,0,0.3999999999999986,3,2,94,9,91,55,36,30,39,21,-3,3,-3,3,3,2,1,1,1,0,1,0,31,89,58,-7,0,0,3,-4,-6,-7,1
Eibar v Granada,1,1.7000000000000028,-2,-3,29,3,19,16,18,13,9,10,-3,3,-4,4,-2,-1,-1,-1,0,0,2,0,1,23,22,-6,0,0,1,0,-1,-1,0
Eibar v Levante,1,0.29999999999999716,-3,-1,86,-5,77,52,38,1,65,22,-1,1,5,-5,-2,-1,0,-3,2,0,0,0,20,73,53,-17,0,0,7,4,-5,-3,-2
Eibar v Malaga,0,1.5,-1,1,6,11,11,23,-5,-3,-2,23,3,-3,2,-2,-2,0,0,10,1,0,4,0,-17,28,45,8,-1,0,-7,-1,9,6,0
Eibar v Rayo Vallecano,2,1.5999999999999979,-1,-1,-142,-2,-140,-66,-80,-13,-86,-49,-2,2,2,-2,-1,-1,-2,-4,-2,0,-1,0,-51,-149,-98,-1,-1,0,-3,-3,2,0,-1
Eibar v Real Madrid,2,1.5,-6,-2,-115,15,-124,-59,-48,-3,-76,-30,1,-1,-1,1,-3,-3,-2,2,4,0,-2,0,-49,-117,-68,0,-1,0,8,4,-5,-4,-2
Eibar v Real Sociedad,0,1.0,3,-1,-63,-6,-68,-21,-38,-20,-35,-4,-1,1,2,-2,3,0,0,-2,3,0,1,0,-39,-56,-17,8,0,0,-3,-2,0,1,1
Eibar v Sevilla,2,2.6000000000000014,-3,-1,79,1,93,39,38,12,57,9,0,0,-6,6,0,0,-1,10,3,0,-1,0,66,97,31,-4,-1,0,5,1,-5,-4,-2
Eibar v Valencia,2,3.299999999999997,0,3,51,-4,48,28,28,0,43,15,1,-1,-5,5,0,-1,0,-3,0,0,1,0,32,41,9,-4,2,0,4,2,-6,-2,-1
Eibar v Villarreal,1,3.0,3,2,-101,0,-97,-75,-35,-73,-40,2,-3,3,1,-1,1,2,1,-5,1,0,0,0,-90,-98,-8,6,0,0,5,0,-6,-5,1
Elche v Almeria,0,1.5,2,4,79,2,74,42,44,13,45,28,1,-1,-3,3,0,-1,1,8,3,0,0,0,39,78,39,-1,2,0,-5,-5,3,0,1
Elche v Athletic Club,2,-0.40000000000000213,4,1,63,12,59,38,30,0,44,25,-1,1,-3,3,7,7,2,0,2,0,1,0,-15,62,77,-8,0,0,0,0,-3,0,2
Elche v Atletico,2,-0.5999999999999979,0,0,-84,19,-85,-55,-30,-54,-48,17,1,-1,-1,1,1,0,-1,-6,-3,0,-2,0,-92,-102,-10,-8,1,0,1,-1,2,-2,-1
Elche v Barcelona,2,0.3000000000000007,1,4,-202,3,-205,-120,-83,-32,-154,-17,1,-1,-3,3,0,-1,-1,1,1,0,1,0,-154,-193,-39,-1,5,0,3,3,1,0,-1
Elche v Celta Vigo,2,1.7000000000000028,0,-1,-78,-2,-72,-41,-35,-15,-54,-7,0,0,1,-1,1,-1,0,-2,-1,0,1,0,-32,-77,-45,-1,1,0,-7,-7,9,0,0
Elche v Cordoba,1,-0.9000000000000021,1,3,-21,-9,-23,-6,-5,24,-20,-17,1,-1,0,0,2,1,-1,5,3,0,0,0,28,-29,-57,-5,-1,0,-3,-3,2,0,-1
Elche v Deportivo,0,0.1999999999999993,5,2,180,28,176,89,101,37,98,56,0,0,7,-7,3,2,1,6,1,0,1,0,69,178,109,-4,-2,0,-1,2,7,3,2
Elche v Eibar,2,-0.9000000000000021,-1,-1,89,11,92,45,39,4,52,29,-5,5,3,-3,0,-1,-1,-3,-2,0,0,0,29,80,51,-3,-1,0,-3,-2,8,1,-2
Elche v Espanyol,0,0.3999999999999986,-1,-1,-89,6,-82,-69,-38,-29,-62,-16,-2,2,-2,2,-2,-1,1,-8,-5,0,0,0,-66,-96,-30,2,1,0,9,7,-9,-2,1
Elche v Getafe,2,0.5,6,0,66,6,66,29,52,10,66,3,4,-4,3,-3,1,1,0,8,1,0,1,0,43,65,22,-9,0,0,3,4,4,1,0
Elche v Granada,1,0.1999999999999993,8,2,89,-7,91,56,42,18,70,8,3,-3,4,-4,9,6,0,4,3,0,1,0,56,99,43,6,-1,0,-2,-1,3,1,0
Elche v Levante,0,-0.6999999999999993,8,5,124,-2,132,70,61,18,94,19,2,-2,-3,3,6,3,1,5,4,0,-1,0,78,135,57,-1,0,-1,4,3,1,-1,1
Elche v Malaga,2,-0.09999999999999787,-4,-3,-55,7,-60,-28,-17,-8,-31,-7,1,-1,-4,4,-1,2,1,6,1,0,2,0,-31,-61,-30,-4,0,0,1,1,-1,0,1
Elche v Rayo Vallecano,0,0.0,5,4,-61,0,-52,-27,-25,-14,-25,-12,1,-1,0,0,2,4,0,6,3,0,4,0,-24,-46,-22,7,-2,0,-1,1,0,2,1
Elche v Real Madrid,2,0.6000000000000014,-5,-3,-102,24,-114,-82,-34,-49,-89,18,-4,4,-4,4,-6,-5,0,-10,-3,0,-5,0,-165,-130,35,2,1,0,20,9,-22,-11,0
Elche v Real Sociedad,0,-0.5,1,-2,22,-8,28,9,7,-15,25,5,-2,2,-1,1,0,-1,0,-7,1,0,-1,0,2,24,22,2,-1,0,-4,-5,4,-1,1
Elche v Sevilla,2,1.1000000000000014,6,3,158,6,163,84,86,30,115,26,4,-4,6,-6,4,0,0,10,2,0,-1,0,92,167,75,-5,-1,0,-11,-7,15,4,0
Elche v Valencia,2,3.1999999999999993,-2,2,-5,7,-11,6,-5,11,-5,-7,1,-1,0,0,-3,-4,0,-2,-3,0,-1,0,27,-9,-36,-3,1,0,-4,-3,5,1,-1
Elche v Villarreal,1,0.5,0,1,17,7,25,-4,17,-4,9,8,0,0,-1,1,0,-4,0,-6,-3,0,1,0,-13,13,26,2,1,0,-10,-10,0,0,0
Espanyol v Almeria,0,1.5,3,1,68,-10,71,55,25,48,26,7,1,-1,-5,5,4,3,2,6,3,0,0,0,56,63,7,-4,-1,0,4,3,-8,-1,2
Espanyol v Athletic Club,0,0.3999999999999986,1,1,17,11,21,11,4,26,-14,2,3,-3,-1,1,3,3,1,2,1,0,0,0,46,23,-23,-1,0,0,0,1,-1,1,1
Espanyol v Atletico,1,-1.1999999999999993,-6,-3,-48,12,-50,-43,-8,-9,-27,-16,-2,2,-7,7,-3,-3,0,-6,-3,0,-1,0,-17,-55,-38,-6,1,-1,-7,-7,6,0,0
Espanyol v Barcelona,2,-1.1000000000000014,-5,-2,-339,-11,-327,-172,-171,-120,-206,-23,-2,2,-1,1,-4,-3,-2,-4,-1,0,-2,0,-237,-330,-93,8,1,0,1,-3,-2,-4,-2
Espanyol v Celta Vigo,0,2.400000000000002,4,0,17,-11,10,25,0,54,10,-38,4,-4,4,-4,0,-1,0,12,2,0,-4,0,55,8,-47,-3,0,0,4,3,-2,-1,0
Espanyol v Cordoba,0,1.5,4,1,23,3,20,22,5,35,-7,-4,0,0,-4,4,4,2,0,2,2,0,1,0,38,22,-16,-6,2,0,-8,-9,1,-1,1
Espanyol v Deportivo,1,-0.6000000000000014,3,0,67,6,76,50,40,54,42,-7,3,-3,4,-4,1,0,0,16,3,0,0,0,90,82,-8,3,-1,0,-3,-4,4,-1,0
Espanyol v Eibar,2,-1.5,-4,-3,70,-9,52,48,39,60,37,-12,1,-1,3,-3,-1,-1,-1,13,3,0,0,0,59,58,-1,-2,0,0,12,9,-5,-3,-2
Espanyol v Elche,1,0.3000000000000007,-4,-1,-53,-13,-41,-40,-15,1,-42,-16,-1,1,0,0,-4,-4,0,0,-1,0,2,0,2,-39,-41,6,0,0,-5,-4,1,1,1
Espanyol v Getafe,0,-0.6999999999999993,0,0,-38,18,-50,-24,-4,3,-15,-16,2,-2,0,0,0,1,0,2,3,0,-2,0,-9,-56,-47,-1,0,0,13,8,-6,-5,0
Espanyol v Granada,0,-0.9000000000000021,-1,-2,-89,0,-104,-52,-43,-7,-75,-13,-2,2,1,-1,-2,-2,0,-6,-3,0,1,0,-48,-95,-47,-5,0,0,1,-1,-1,-2,1
Espanyol v Levante,0,-1.5,3,0,113,20,105,66,58,38,51,36,0,0,-4,4,2,1,0,4,1,0,0,0,65,96,31,-13,-1,0,1,0,0,-1,1
Espanyol v Malaga,1,-0.8000000000000007,2,2,-179,-5,-167,-102,-72,-49,-93,-33,4,-4,0,0,1,1,1,2,2,0,2,0,-91,-164,-73,0,1,0,-7,-3,10,4,1
Espanyol v Rayo Vallecano,1,-1.0999999999999979,3,3,-88,-4,-94,-34,-41,-1,-41,-33,3,-3,-1,1,0,0,-1,2,0,0,-2,0,-14,-94,-80,-3,0,0,-5,-3,4,2,-1
Espanyol v Real Madrid,2,1.5,-1,-2,-40,0,-47,-31,-8,-21,5,-24,-1,1,-2,2,-3,-3,0,-5,-2,0,-2,0,-33,-62,-29,-2,0,0,12,-1,-11,-13,0
Espanyol v Real Sociedad,0,-0.3000000000000007,0,0,-40,-10,-44,-3,-31,-4,-13,-16,0,0,-1,1,-2,0,1,5,2,0,0,0,-12,-43,-31,-4,2,0,0,4,4,4,1
Espanyol v Sevilla,2,-0.3000000000000007,-5,-4,-69,-1,-71,-30,-40,5,-49,-25,-1,1,6,-6,-1,0,-1,0,-1,0,0,0,2,-70,-72,-5,0,0,-4,-4,5,0,-1
Espanyol v Valencia,2,1.5,-3,0,-71,-11,-59,-32,-29,-2,-43,-17,3,-3,-2,2,-2,-1,0,2,1,0,0,0,-40,-64,-24,-5,-1,0,-11,-9,6,2,0
Espanyol v Villarreal,1,0.5,-2,-2,6,3,1,17,9,53,-11,-15,2,-2,3,-3,1,1,-1,8,2,0,-2,0,45,-3,-48,-3,-1,0,-6,-3,7,3,-1
Getafe v Almeria,0,0.7000000000000028,2,1,93,4,94,61,21,-13,35,60,0,0,2,-2,-1,-2,0,-2,-1,0,0,0,6,98,92,1,0,0,1,3,-4,2,1
Getafe v Athletic Club,2,0.5,-2,0,-59,15,-64,-32,-33,-41,-52,27,-3,3,0,0,-2,-2,-1,-11,-4,0,-1,0,-108,-68,40,-5,1,0,5,4,-2,-1,-1
Getafe v Atletico,2,0.8999999999999986,-10,-8,-129,2,-132,-78,-71,-84,-67,0,-7,7,-2,2,-8,-3,0,-20,-4,0,0,0,-119,-132,-13,-5,0,0,0,-4,0,-4,-1
Getafe v Barcelona,1,-0.1999999999999993,-7,-2,-287,-1,-280,-143,-132,-75,-180,-29,1,-1,-8,8,-6,-3,0,1,1,0,0,0,-224,-273,-49,6,0,0,2,-3,-4,-5,0
Getafe v Celta Vigo,0,1.2000000000000028,0,1,-100,-10,-96,-47,-42,-21,-53,-16,1,-1,2,-2,-1,0,0,4,0,0,-2,0,-45,-91,-46,1,1,0,-9,-8,5,1,0
Getafe v Cordoba,1,1.4000000000000021,1,2,57,6,75,46,23,19,34,17,4,-4,-1,1,3,2,0,6,1,0,1,0,41,70,29,1,-1,0,-6,-9,3,-3,0
Getafe v Deportivo,0,-0.5,4,1,-21,-1,-23,-14,-10,-4,-35,15,4,-4,-4,4,3,1,1,-7,2,0,2,0,-16,-20,-4,-5,0,0,0,0,1,0,2
Getafe v Eibar,1,-2.3999999999999986,6,4,64,7,67,39,39,28,-3,56,3,-3,-1,1,4,1,1,6,-1,0,0,0,31,73,42,4,-1,0,3,3,-4,0,0
Getafe v Elche,1,0.5,2,-1,-13,6,-12,-13,4,11,-14,-4,3,-3,-5,5,-1,-2,0,6,0,0,-2,0,6,-16,-22,-2,1,0,-1,-1,6,0,0
Getafe v Espanyol,0,0.0,7,3,50,13,47,14,29,2,18,25,1,-1,-3,3,4,1,1,-4,1,0,0,0,18,52,34,-3,0,0,-2,6,6,8,1
Getafe v Granada,2,-0.6999999999999993,-2,-1,4,-4,10,5,-2,4,14,-17,-2,2,3,-3,0,1,0,-5,-3,0,3,0,19,-2,-21,3,0,0,7,-3,-9,-10,0
Getafe v Levante,2,-2.5,1,0,100,6,109,70,37,39,48,21,-2,2,4,-4,1,0,-1,4,-2,0,-1,0,61,111,50,2,0,0,-5,-2,8,3,-1
Getafe v Malaga,0,0.1999999999999993,0,0,-36,7,-34,-40,-10,-39,-9,-4,1,-1,-1,1,0,1,1,-7,-2,0,1,0,-44,-50,-6,0,-1,0,4,0,-2,-4,1
Getafe v Rayo Vallecano,2,1.1000000000000014,-4,0,-184,-3,-184,-103,-86,-27,-108,-55,2,-2,-4,4,-6,-3,0,-5,-4,0,-1,0,-62,-180,-118,0,2,0,-1,-2,1,-1,0
Getafe v Real Madrid,2,1.8000000000000007,-11,-12,-109,-3,-105,-77,-49,-78,-42,-9,-6,6,0,0,-9,-4,0,-16,-1,0,0,0,-150,-99,51,5,0,0,-2,-2,4,0,0
Getafe v Real Sociedad,2,0.6999999999999993,3,6,-64,1,-49,-49,-23,-32,-28,-11,-1,1,-1,1,0,-2,0,-6,-1,0,1,0,-19,-52,-33,6,0,0,-9,-6,6,3,0
Getafe v Sevilla,0,1.5999999999999979,0,0,-16,21,-6,-19,1,-23,-1,9,3,-3,5,-5,-2,0,0,2,2,0,0,0,-30,1,31,10,0,0,3,-1,2,-4,1
Getafe v Valencia,2,2.900000000000002,-1,1,6,-10,12,-4,8,-25,-1,31,1,-1,-6,6,0,-3,-2,2,-1,0,0,0,-16,0,16,-4,2,0,4,-1,-3,-5,-2
Getafe v Villarreal,1,0.8999999999999986,1,1,4,8,8,-2,17,-9,11,12,1,-1,3,-3,0,1,0,7,-1,0,0,0,-15,14,29,-3,-2,0,1,3,3,2,0
Granada v Almeria,1,0.6000000000000014,9,8,28,-8,38,24,20,4,44,-5,6,-6,-4,4,5,2,0,16,2,0,-1,0,38,33,-5,3,1,0,-5,-5,7,0,0
Granada v Athletic Club,1,0.9000000000000021,-3,0,30,-6,43,16,5,-60,55,26,1,-1,-4,4,-2,-3,0,-5,-3,0,3,0,-51,51,102,-1,-1,0,-12,-6,9,6,0
Granada v Atletico,1,-0.1999999999999993,-1,-1,-15,15,-13,-4,-4,5,-1,-11,3,-3,4,-4,-1,0,0,3,0,0,-1,0,0,-12,-12,2,0,0,-7,-6,6,1,0
Granada v Barcelona,2,-2.3999999999999986,0,1,-106,-7,-96,-49,-48,32,-83,-47,1,-1,-2,2,1,0,0,4,1,0,-1,0,18,-115,-133,-1,0,0,-7,-11,8,-4,-1
Granada v Celta Vigo,1,3.0,2,0,-97,-9,-97,-48,-56,-16,-60,-29,-2,2,-4,4,2,1,0,0,1,0,-2,0,-46,-82,-36,3,0,0,3,4,0,1,1
Granada v Cordoba,0,1.3999999999999986,9,3,34,-5,46,34,14,55,9,-16,5,-5,-3,3,6,4,1,12,3,0,-1,0,96,37,-59,1,0,0,6,1,-6,-5,1
Granada v Deportivo,0,-1.3000000000000007,0,-1,16,-3,18,11,6,22,14,-19,0,0,8,-8,2,0,0,5,1,0,0,0,19,26,7,4,-1,0,-4,3,2,7,-1
Granada v Eibar,1,-2.700000000000003,4,1,123,-5,130,74,63,33,85,17,0,0,1,-1,3,2,0,8,1,0,-1,0,98,131,33,-5,1,0,-5,0,9,5,0
Granada v Elche,0,0.3999999999999986,4,2,54,-7,58,33,24,24,27,5,1,-1,1,-1,2,0,0,5,-2,0,0,0,37,69,32,-1,-2,0,5,9,0,4,0
Granada v Espanyol,2,-0.1999999999999993,1,0,21,-3,17,24,11,17,20,1,4,-4,-6,6,1,1,0,11,1,0,-2,0,17,7,-10,-3,-2,0,6,2,2,-4,-1
Granada v Getafe,1,-0.9000000000000021,4,2,27,-6,26,17,17,3,29,0,0,0,-6,6,1,3,1,-1,0,0,1,0,-4,32,36,-5,0,0,1,2,0,1,1
Granada v Levante,2,-1.0,1,1,73,-6,73,40,34,-30,89,14,-2,2,-1,1,2,1,0,-5,1,0,-1,0,12,84,72,-11,-2,0,-6,-3,5,3,0
Granada v Malaga,0,0.1999999999999993,5,3,74,5,74,52,39,66,16,10,4,-4,5,-5,2,3,0,19,7,0,-2,0,99,79,-20,5,-2,0,-9,-2,14,7,0
Granada v Rayo Vallecano,2,-0.7999999999999972,0,-1,-97,-12,-100,-57,-51,-20,-44,-44,-4,4,-6,6,0,1,0,-8,-1,0,1,0,-28,-99,-71,-1,-1,0,7,2,-1,-5,0
Granada v Real Madrid,2,-0.9000000000000021,-4,-1,-225,-12,-215,-110,-113,-37,-157,-31,0,0,-5,5,-5,-3,-1,7,1,0,-2,0,-94,-206,-112,2,0,0,-8,-1,14,7,-2
Granada v Real Sociedad,1,0.5,2,1,39,8,41,28,24,26,18,8,4,-4,2,-2,0,0,0,12,4,0,-1,0,43,45,2,4,1,0,-12,-9,5,3,-1
Granada v Sevilla,1,-0.40000000000000213,-4,-2,-27,14,-10,-36,8,11,-22,-16,-2,2,3,-3,-3,-2,1,2,-5,0,0,0,14,-18,-32,5,-1,0,-5,-6,3,-1,1
Granada v Valencia,1,1.5999999999999979,-2,-2,-125,-2,-117,-67,-53,-33,-71,-16,2,-2,-5,5,-2,-2,0,1,1,0,1,0,-58,-116,-58,4,-1,0,0,2,-3,2,0
Granada v Villarreal,1,1.5,-3,-2,-134,4,-133,-74,-57,-72,-57,-2,1,-1,2,-2,-2,0,0,3,1,0,0,0,-133,-131,2,-2,0,0,10,7,-3,-3,0
Levante v Almeria,0,2.3000000000000007,2,1,-114,-10,-117,-55,-64,-10,-82,-29,-3,3,-6,6,4,2,0,-6,2,0,0,0,-52,-116,-64,-4,0,0,4,2,-4,-2,1
Levante v Athletic Club,2,1.8999999999999986,2,3,2,-5,0,3,3,19,2,-15,2,-2,0,0,0,1,0,3,4,0,2,0,20,6,-14,1,0,0,-8,-3,8,5,0
Levante v Atletico,1,1.6999999999999993,-4,-5,-95,3,-102,-63,-48,-71,-43,3,-1,1,2,-2,-2,-3,0,-12,-5,0,-1,0,-110,-103,7,0,1,0,2,3,6,1,0
Levante v Barcelona,2,0.8999999999999986,-5,1,-267,-7,-266,-137,-136,-115,-148,-12,-4,4,-2,2,-3,-3,-1,-9,-3,0,0,0,-236,-272,-36,2,-1,1,5,2,-6,-3,-2
Levante v Celta Vigo,2,2.299999999999997,-3,-3,-179,-1,-170,-92,-84,-25,-132,-19,0,0,-6,6,-4,-2,0,-1,0,0,0,0,-111,-174,-63,3,3,0,6,1,-4,-5,0
Levante v Cordoba,0,2.099999999999998,3,-1,32,-9,44,4,42,57,14,-28,3,-3,-3,3,2,-1,1,7,1,0,1,0,98,41,-57,4,-1,0,-1,0,3,1,1
Levante v Deportivo,1,1.3999999999999986,-2,-2,-49,-13,-48,-13,-16,10,-11,-30,0,0,2,-2,0,1,0,3,0,0,1,0,-5,-59,-54,-3,0,0,-12,-9,10,3,0
Levante v Eibar,0,-0.3000000000000007,1,1,125,11,116,77,68,60,67,19,0,0,1,-1,1,0,0,14,-1,0,-1,0,92,110,18,-10,0,0,8,8,-6,0,0
Levante v Elche,1,2.5,-1,-3,-88,-9,-74,-43,-37,-3,-56,-23,-2,2,-1,1,-2,-1,0,2,-1,0,-1,0,-63,-92,-29,1,0,0,6,1,-6,-5,0
Levante v Espanyol,1,1.6000000000000014,2,2,-12,-5,-10,2,-5,4,-12,7,4,-4,0,0,4,3,1,7,4,0,1,0,-4,-16,-12,-3,0,0,-14,-12,0,2,-1
Levante v Getafe,1,0.6000000000000014,9,3,3,-13,5,2,19,48,1,-30,3,-3,2,-2,5,1,0,12,3,0,2,0,57,0,-57,-4,0,0,2,4,0,2,0
Levante v Granada,0,1.0,-1,-2,79,-6,92,38,49,10,61,18,1,-1,-3,3,-1,-1,0,5,-1,0,4,0,25,80,55,-7,0,0,-3,-1,10,2,-1
Levante v Malaga,0,0.5,7,3,-62,-11,-53,-31,-33,4,-48,-21,-1,1,-2,2,4,2,0,3,2,0,-1,0,-15,-57,-42,0,1,0,-3,1,3,4,1
Levante v Rayo Vallecano,2,0.09999999999999787,-5,-4,-86,17,-98,-45,-42,8,-69,-27,0,0,-1,1,-6,-2,-1,0,1,0,0,0,-38,-88,-50,3,3,0,6,4,-8,-2,-2
Levante v Real Madrid,2,1.5,-5,-1,-208,-4,-209,-116,-91,-12,-162,-34,-1,1,-8,8,-4,-3,-1,0,-3,0,-2,0,-77,-205,-128,1,4,0,3,2,-4,-1,-2
Levante v Real Sociedad,1,2.5,3,0,-98,-4,-93,-40,-59,-32,-38,-29,-1,1,-1,1,3,3,0,-1,2,0,-1,0,-48,-108,-60,-1,1,0,-4,-2,1,2,0
Levante v Sevilla,2,2.400000000000002,-2,1,70,0,68,30,50,32,44,4,1,-1,5,-5,-4,-5,-2,11,1,0,0,0,85,78,-7,-5,-3,0,-12,-6,13,6,-2
Levante v Valencia,0,3.599999999999998,-4,-1,-147,11,-154,-94,-69,-32,-108,-26,-2,2,-1,1,-5,-3,0,-12,-5,0,1,0,-75,-166,-91,4,1,0,9,1,-6,-8,0
Levante v Villarreal,2,1.6999999999999993,-2,0,38,13,33,2,33,-15,52,-2,-2,2,5,-5,-3,-3,0,-5,-2,0,-1,0,-3,34,37,0,0,0,-3,-2,1,1,0
Malaga v Almeria,2,0.20000000000000284,2,3,68,0,66,45,27,21,35,17,3,-3,3,-3,0,-1,0,3,0,0,0,0,32,51,19,-6,-1,0,2,-1,-9,-3,-1
Malaga v Athletic Club,0,0.3000000000000007,5,1,-56,9,-74,-36,-25,-17,-34,-10,2,-2,0,0,2,-1,0,-4,0,0,1,0,-36,-62,-26,-12,-2,0,-4,0,3,4,1
Malaga v Atletico,1,0.0,-3,1,3,20,3,-20,23,-6,-3,13,4,-4,-4,4,-1,-2,0,3,0,0,-2,0,-36,-2,34,5,-1,0,-6,-7,4,-1,-2
Malaga v Barcelona,1,0.5999999999999979,-3,-1,-218,-4,-232,-116,-104,-88,-113,-21,-1,1,-4,4,-2,-2,0,-10,-1,0,-1,0,-191,-236,-45,-4,0,0,8,2,-11,-6,0
Malaga v Celta Vigo,0,1.6000000000000014,1,0,-58,-5,-66,-19,-40,9,-44,-23,-2,2,1,-1,0,-1,1,-1,1,0,0,0,-15,-57,-42,-4,-1,0,6,4,-3,-2,1
Malaga v Cordoba,0,1.5999999999999979,8,6,90,-11,90,68,36,81,-1,25,-2,2,3,-3,6,1,0,6,1,0,2,0,92,73,-19,1,0,0,-6,-5,5,1,0
Malaga v Deportivo,1,-0.09999999999999787,0,-1,35,4,46,27,17,2,33,9,1,-1,1,-1,0,1,0,2,-1,0,4,0,20,43,23,-4,-1,0,-12,-9,7,3,0
Malaga v Eibar,0,-1.1999999999999993,4,2,1,-21,11,9,3,30,7,-25,0,0,0,0,5,4,0,7,3,0,0,0,47,5,-42,1,0,0,-5,-3,-1,2,-1
Malaga v Elche,2,0.5999999999999979,-1,0,29,-1,29,26,12,36,2,3,-1,1,0,0,0,-1,-1,7,4,0,3,0,45,34,-11,7,2,0,2,3,-2,1,-1
Malaga v Espanyol,2,0.40000000000000213,3,2,76,3,71,61,30,56,30,5,2,-2,4,-4,1,0,-1,11,3,0,-1,0,74,75,1,3,-2,0,4,2,-6,-2,-1
Malaga v Getafe,0,0.3000000000000007,7,4,30,-8,30,20,11,10,-9,29,2,-2,3,-3,4,2,1,2,1,0,0,0,17,28,11,-2,0,0,5,1,-2,-4,1
Malaga v Granada,0,-0.3999999999999986,5,3,88,-14,97,74,39,75,34,5,0,0,-2,2,3,2,0,20,4,0,-2,0,96,83,-13,-2,-2,0,-2,-2,-6,0,-1
Malaga v Levante,1,-1.0,6,5,43,2,52,4,40,5,14,25,12,-12,-3,3,5,2,0,8,3,0,4,0,-5,49,54,-3,0,0,0,3,-1,3,0
Malaga v Rayo Vallecano,0,-1.0999999999999979,6,2,-53,-11,-45,-29,-26,32,-49,-38,2,-2,-4,4,5,5,2,5,1,0,2,0,61,-31,-92,2,-2,0,-6,3,14,9,3
Malaga v Real Madrid,2,0.6999999999999993,-8,-5,-43,15,-49,-27,-20,-14,-55,18,-3,3,-3,3,-8,-7,-1,-9,-5,0,-3,0,-73,-51,22,6,0,0,6,1,-8,-5,-1
Malaga v Real Sociedad,1,0.3000000000000007,-2,-1,45,2,51,30,29,40,14,5,3,-3,-3,3,1,2,0,3,2,0,2,0,50,47,-3,-10,-1,0,-13,-9,11,4,0
Malaga v Sevilla,2,0.40000000000000213,1,-1,13,18,15,5,9,24,-15,5,2,-2,2,-2,0,0,0,5,0,0,-7,0,33,16,-17,1,0,1,-6,-3,7,3,0
Malaga v Valencia,0,2.3000000000000007,4,2,-43,-3,-42,-16,-22,-11,-37,11,1,-1,-1,1,1,0,1,3,0,0,-2,0,-46,-49,-3,0,-1,0,8,4,-12,-4,1
Malaga v Villarreal,1,0.40000000000000213,1,1,20,3,23,-5,22,16,-34,35,3,-3,5,-5,0,-1,0,-2,-3,0,2,0,7,32,25,0,-3,0,-1,-1,-2,0,-1
Rayo Vallecano v Almeria,0,1.5999999999999979,3,1,133,4,134,86,64,22,72,59,2,-2,-2,2,4,3,1,13,8,0,1,0,33,141,108,-1,0,0,3,4,-1,1,1
Rayo Vallecano v Athletic Club,0,-0.09999999999999787,3,0,30,10,31,3,29,-32,32,32,1,-1,2,-2,2,0,-1,0,2,0,0,0,-17,38,55,3,1,0,-2,-2,3,0,0
Rayo Vallecano v Atletico,1,0.6999999999999993,-3,-3,77,3,85,38,31,-37,54,52,-1,1,-2,2,-2,-3,0,-9,-2,0,-2,0,-14,92,106,3,1,0,-7,-7,11,0,0
